rxn.number,site,e.donor,e.acceptor,e.transfer,LogK,logQ,deltaG,energy_density
22,D5,H2,lepidocrocite,2,32.28920347657888,24.504800000000003,-21.12398068603499,-8.37542423826517
22,D6,H2,lepidocrocite,2,33.624425667921145,33.4246,-0.5422526674575012,-9.780398302920547
23,D1,HS-,ferrihydrite,2,39.590481019635604,34.198499999999996,-14.63183444446885,-5.9316012214368055
23,D2,HS-,ferrihydrite,2,39.25427064972311,36.6153,-7.161186493414338,-8.247515016120513
23,D3,HS-,ferrihydrite,2,38.659644130409106,33.127700000000004,-15.011642358798083,-6.052071790878372
23,D4,HS-,ferrihydrite,2,37.711256745034916,25.9815,-31.83020454675884,-3.343260570513674
23,D5,HS-,ferrihydrite,2,36.40486877543724,28.806800000000003,-20.618337493220427,-3.8679463558628187
23,D6,HS-,ferrihydrite,2,37.85877212091137,39.0532,3.241233772715311,NaN
24,D1,HS-,goethite,2,30.491734919583877,34.198499999999996,10.058784106189648,NaN
24,D2,HS-,goethite,2,30.23013580295583,36.6153,17.326964818992252,NaN
24,D3,HS-,goethite,2,29.76781468825368,33.127700000000004,9.11748121049528,NaN
24,D4,HS-,goethite,2,29.031409623359536,25.9815,-8.276322286202133,-3.928262605923904
24,D5,HS-,goethite,2,28.019102935942414,28.806800000000003,2.1375173598930273,NaN
24,D6,HS-,goethite,2,29.14587191999695,39.0532,26.884809817716796,NaN
25,D1,HS-,lepidocrocite,2,34.096539856049276,34.198499999999996,0.2766819728757067,NaN
25,D2,HS-,lepidocrocite,2,33.804118009707764,36.6153,7.628504129639567,NaN
25,D3,HS-,lepidocrocite,2,33.287218638784424,33.127700000000004,-0.4328743563823577,-7.592138141171154
25,D4,HS-,lepidocrocite,2,32.46359404370594,25.9815,-17.589996432775383,-3.6008342486167924
25,D5,HS-,lepidocrocite,2,31.33081178150141,28.806800000000003,-6.849230809294148,-4.346558198439855
25,D6,HS-,lepidocrocite,2,32.591636441287704,39.0532,17.534284319472732,NaN
26,D1,NH4+,ferrihydrite,6,16.039692220257905,43.2316,24.596247119167277,NaN
26,D2,NH4+,ferrihydrite,6,15.792299575486481,42.6381,24.283178168363257,NaN
26,D3,NH4+,ferrihydrite,6,15.352374719721752,40.0946,22.38040420706383,NaN
26,D4,NH4+,ferrihydrite,6,14.645159576558513,19.0063,3.944838605854305,NaN
26,D5,NH4+,ferrihydrite,6,13.661468184378407,25.112900000000003,10.358311343463766,NaN
26,D6,NH4+,ferrihydrite,6,14.755573799966385,54.2882,35.75895634693551,NaN
27,D1,NH4+,goethite,6,-11.256546079897305,43.2316,49.2868656698258,NaN
27,D2,NH4+,goethite,6,-11.280104964815337,42.6381,48.77132948076982,NaN
27,D3,NH4+,goethite,6,-11.323113606744528,40.0946,46.509527776357196,NaN
27,D4,NH4+,goethite,6,-11.394381788467513,19.0063,27.49872086641091,NaN
27,D5,NH4+,goethite,6,-11.495829334105963,25.112900000000003,33.11416619657713,NaN
27,D6,NH4+,goethite,6,-11.383126802776928,54.2882,59.40253239193705,NaN
28,D1,NH4+,lepidocrocite,6,-0.44213127050107914,43.2316,39.50476353651183,NaN
28,D2,NH4+,lepidocrocite,6,-0.5581583445596152,42.6381,39.072868791417214,NaN
28,D3,NH4+,lepidocrocite,6,-0.764901755152323,40.0946,36.95917220947958,NaN
28,D4,NH4+,lepidocrocite,6,-1.0978285274283053,19.0063,18.185046719837658,NaN
